Model,Company,Architecture,Total_Parameters_B,Active_Parameters_B,Training_Cost_USD_M,Context_Window_K,Release_Date
GPT-4,OpenAI,Dense,1800,1800,100,128,2023-03
Claude 3 Opus,Anthropic,Dense,2000,2000,150,200,2024-03
Gemini 1.0 Ultra,Google DeepMind,Dense,1600,1600,120,32,2023-12
Llama 3 70B,Meta,Dense,70,70,20,8,2024-04
DeepSeek V3,DeepSeek,MoE,671,37,5.5,128,2024-12
Kimi K2,Moonshot AI,MoE,1000,32,4.6,256,2025-07
Llama 4 Maverick,Meta,MoE,400,17,15,128,2025-04
Gemini 3,Google DeepMind,Hybrid MoE,2500,50,80,2000,2025-11
GPT-5,OpenAI,MoE (Rumored),3000,200,200,128,2025-06
Claude 3.5 Sonnet,Anthropic,Dense,400,400,50,200,2024-06
Llama 3.2 90B,Meta,Dense,90,90,25,128,2024-09
Mistral Large,Mistral,MoE,380,40,10,32,2024-02
